,plot,id,species,height_cm,date
310,2403,5,ARCA,43.7,5/17/2023
311,2403,6,SALE,90.4,5/17/2023
312,2403,7,ENCA,55.6,5/17/2023
313,2403,8,ERFA,60.7,5/17/2023
314,2403,9,ENCA,58.7,5/17/2023
315,2403,10,ENCA,43.9,5/17/2023
316,2403,11,ERFA,61.1,5/17/2023
317,2403,12,SAME,90.5,5/17/2023
318,2403,13,ARCA,65.9,5/17/2023
319,2403,14,ENCA,82.3,5/17/2023
320,2403,15,ERFA,75.2,5/17/2023
321,2403,16,ARCA,48.1,5/17/2023
322,2403,17,SALE,109.5,5/17/2023
323,2403,19,ARCA,83.6,5/17/2023
324,2403,20,ENCA,102,5/17/2023
325,2403,21,ERFA,67.5,5/17/2023
326,2403,22,SALE,109.5,5/17/2023
327,2403,23,SAAP,60.6,5/17/2023
328,2403,24,ENCA,94.7,5/17/2023
329,2403,25,SAAP,171.9,5/17/2023
330,2403,26,SALE,105.5,5/17/2023
331,2403,27,SAAP,57.6,5/17/2023
332,2403,28,ARCA,68.8,5/17/2023
333,2403,29,ENCA,104,5/17/2023
334,2403,30,SALE,105.4,5/17/2023
335,2403,31,SAME,26.1,5/17/2023
336,2403,32,ARCA,50,5/17/2023
337,2403,33,ARCA,76.6,5/17/2023
338,2403,34,HEAR,21.3,5/17/2023
339,2403,35,SALE,89.2,5/17/2023
340,2403,36,ERFA,61.9,5/17/2023
341,2403,37,SAAP,50.4,5/17/2023
342,2403,38,HEAR,21.8,5/17/2023
343,11,1,SALE,67,5/17/2023
344,11,2,ENCA,50,5/17/2023
345,11,3,SALE,46,5/17/2023
346,11,4,SAAP,115,5/17/2023
347,11,5,ERFA,30,5/17/2023
348,11,6,SAAP,70,5/17/2023
349,11,7,SAME,16,5/17/2023
350,11,8,ENCA,86,5/17/2023
351,11,9,SAAP,46,5/17/2023
352,11,10,SAAP,30.5,5/17/2023
353,11,11,SAME,40,5/17/2023
354,11,12,ARCA,71,5/17/2023
355,11,13,SAAP,138,5/17/2023
356,11,14,ENCA,72,5/17/2023
357,11,15,ERFA,24,5/17/2023
358,11,16,SALE,82.5,5/17/2023
359,11,NA,SALE,29,5/17/2023
360,2405,1,ENCA,49.5,5/17/2023
361,2405,2,SAME,48,5/17/2023
362,2405,3,ENCA,33,5/17/2023
363,2405,4,SALE,57,5/17/2023
364,2405,5,SALE,92,5/17/2023
365,2405,7,SAAP,27,5/17/2023
366,2405,8,ENCA,33,5/17/2023
367,2405,9,SAME,37,5/17/2023
368,2405,10,ENCA,48,5/17/2023
369,2405,11,ERFA,62.5,5/17/2023
370,2405,12,ENCA,39,5/17/2023
371,2405,13,ERFA,48,5/17/2023
372,2405,14,SALE,45,5/17/2023
373,2405,15,ERFA,57,5/17/2023
374,2405,NA,SAAP,35,5/17/2023
375,2405,NA,SAAP,25,5/17/2023
376,2405,NA,SAAP,17,5/17/2023
377,13,1,SAAP,35.5,5/17/2023
378,13,2,SAME,41,5/17/2023
379,13,3,ARCA,57,5/17/2023
380,13,4,SALE,62,5/17/2023
381,13,5,SAAP,19,5/17/2023
382,13,6,ARCA,27,5/17/2023
383,13,7,ENCA,62.5,5/17/2023
384,13,8,SAME,50,5/17/2023
385,13,9,ARCA,80.5,5/17/2023
386,13,10,SAAP,88,5/17/2023
387,13,11,SALE,83,5/17/2023
388,13,12,SALE,99,5/17/2023
389,13,13,ENCA,68,5/17/2023
390,13,14,CECU,24.5,5/17/2023
391,13,15,ARCA,46,5/17/2023
392,13,16,ENCA,44,5/17/2023
393,13,17,CECU,41,5/17/2023
394,13,18,ARCA,70,5/17/2023
395,13,19,ENCA,32,5/17/2023
396,13,20,ARCA,99,5/17/2023
397,13,21,SAME,55,5/17/2023
398,13,22,SAAP,28,5/17/2023
399,13,23,ARCA,67,5/17/2023
400,13,24,SALE,48.5,5/17/2023
401,13,25,SAAP,25.5,5/17/2023
402,12,1,RHOV,11,5/17/2023
403,12,2,ADFA,40.5,5/17/2023
404,12,4,CECU,33,5/17/2023
405,12,5,CECU,29,5/17/2023
406,12,6,RHOV,43,5/17/2023
407,12,7,RHIL,21,5/17/2023
408,12,8,RHOV,27.5,5/17/2023
409,12,9,RHIL,15,5/17/2023
410,12,10,CEOL,24,5/17/2023
411,12,11,RHOV,29,5/17/2023
412,12,12,RHOV,17,5/17/2023
413,2459,1,HEAR,18,5/17/2023
414,2459,2,RHIL,11,5/17/2023
415,2459,3,RHOV,17,5/17/2023
416,2459,4,HEAR,20,5/17/2023
417,2459,5,MALA,52,5/17/2023
418,2459,6,MALA,51.5,5/17/2023
419,2459,7,MALA,52,5/17/2023
420,2459,8,ADFA,12,5/17/2023
421,2459,9,RHOV,51,5/17/2023
422,2459,10,ADFA,39,5/17/2023
423,2459,12,RHOV,36.5,5/17/2023
424,2459,13,MALA,99.5,5/17/2023
425,2459,14,RHOV,41,5/17/2023
426,2459,15,MALA,35,5/17/2023
427,2401,1,ARCA,88,5/17/2023
428,2401,2,SAAP,21,5/17/2023
429,2401,3,SAAP,52,5/17/2023
430,2401,4,ARCA,82,5/17/2023
431,2401,5,ERFA,39,5/17/2023
432,2401,6,ENCA,67,5/17/2023
433,2401,7,SAAP,41,5/17/2023
434,2401,8,ARCA,80,5/17/2023
435,2401,9,SAME,79,5/17/2023
436,2401,10,SAAP,46,5/17/2023
437,2401,11,SAAP,32,5/17/2023
438,2401,12,SALE,71,5/17/2023
439,2401,13,ERFA,39,5/17/2023
440,2401,14,SALE,64,5/17/2023
441,14,1,SALE,49.5,5/17/2023
442,14,2,ENCA,65,5/17/2023
443,14,3,ARCA,49.5,5/17/2023
