Plot,ID,Species,Height,Date,Resprout,Row #,Notes,,
2461,n/a,ARCA,29.1,3/9/2023,,,,,
2461,68,SAAP,15.1,3/9/2023,,Row 3,,,
2461,n/a,ENCA,44.3,3/9/2023,,Row 4,,,
2461,54,ARCA,45.4,3/9/2023,,Row 5,,,
2461,52,ENCA,31.8,3/9/2023,,,,,
2461,48,SALE,36.9,3/9/2023,,,,,
2461,35?,ARCA,29.2,3/9/2023,,Row 6,,,
2461,n/a,ARCA,67,3/9/2023,,,,,
2461,30,SAAP,38.7,3/9/2023,,Row 7,,,
2461,31,SAME,28.7,3/9/2023,,,,,
2461,36,ARCA,49.3,3/9/2023,,,,,
2461,40,ARCA,55.1,3/9/2023,,,,,
2461,12,SAAP,35.1,3/9/2023,,,,,
2461,28,ARCA,46.2,3/9/2023,,Row 8,,,
2461,2,ARCA,51.3,3/9/2023,,Row 9,,,
2461,7,ENCA,66.2,3/9/2023,,,,,
2461,24?,ARCA,74.2,3/9/2023,,,,,
2461,1?,ENCA,64,3/9/2023,,Row 10,,,
2461,4?,SAAP,28.9,3/9/2023,,,,,
2461,5,SALE,55.2,3/9/2023,,,,,
2461,n/a,SAAP,30.8,3/9/2023,,,,,
2461,14,SALE,39,3/9/2023,,,,,
2461,12,SAME,29.4,3/9/2023,,,,,
2461,19,ENCA,89.4,3/9/2023,,,,,
2461,17,ARCA,35.6,3/9/2023,,,,,
2461,n/a,SALE,41.6,3/9/2023,,,,,
2461,8,ENCA,87.6,3/9/2023,,Row 11,,,
2458,55,RHOV,8.4,3/9/2023,,Row 1,,,
2458,69,CEOL,28.5,3/9/2023,,Row 2,,,
2458,n/a,RHOV,35.5,3/9/2023,,Row 3,,,
2458,n/a,ADFA,28.6,3/9/2023,,,,,
2458,38,MALA,35.2,3/9/2023,,Row 4,,,
2458,36,HEAR,19.7,3/9/2023,,,,,
2458,12,RHOV,25.4,3/9/2023,,Row 5,,,
2458,14,RHIL,6.2,3/9/2023,,,,,
2458,19,RHOV,10.8,3/9/2023,,,,,
